Date,metric,ticker,value
2019-12-03,Open,3UKL.L,22693.0
2019-12-04,Open,3UKL.L,21530.0
2019-12-05,Open,3UKL.L,21640.0
2019-12-06,Open,3UKL.L,22091.0
2019-12-09,Open,3UKL.L,22120.0
2019-12-10,Open,3UKL.L,22252.0
2019-12-11,Open,3UKL.L,22370.0
2019-12-12,Open,3UKL.L,22190.0
2019-12-13,Open,3UKL.L,23172.0
2019-12-16,Open,3UKL.L,23700.0
2019-12-17,Open,3UKL.L,24800.0
2019-12-18,Open,3UKL.L,25070.0
2019-12-19,Open,3UKL.L,25170.0
2019-12-20,Open,3UKL.L,25611.0
2019-12-23,Open,3UKL.L,25489.0
2019-12-24,Open,3UKL.L,26070.0
2019-12-27,Open,3UKL.L,26094.0
2019-12-30,Open,3UKL.L,26150.0
2019-12-31,Open,3UKL.L,25370.0
2020-01-02,Open,3UKL.L,25720.0
2020-01-03,Open,3UKL.L,25400.0
2020-01-06,Open,3UKL.L,25341.0
2020-01-07,Open,3UKL.L,25563.0
2020-01-08,Open,3UKL.L,25130.0
2020-01-09,Open,3UKL.L,25720.0
2020-01-10,Open,3UKL.L,25995.0
2020-01-13,Open,3UKL.L,25700.0
2020-01-14,Open,3UKL.L,25870.0
2020-01-15,Open,3UKL.L,25960.0
2020-01-16,Open,3UKL.L,26225.0
2020-01-17,Open,3UKL.L,26040.0
2020-01-20,Open,3UKL.L,26570.0
2020-01-21,Open,3UKL.L,25600.0
